postcode,total_licences
2540,10466
2259,10297
2250,9100
2756,9022
2650,8176
2229,7979
2230,7635
2170,7450
2261,6930
2444,6801
2283,6735
2280,6582
2232,6288
2340,6283
2570,6165
2430,6088
2155,5896
2153,5800
2428,5772
2560,5717
2257,5634
2290,5585
2320,5506
2830,5486
2251,5424
2324,5380
2800,5379
2234,5372
2450,5304
2088,5128
2145,5029
2285,4996
2460,4936
2750,4891
2099,4877
2567,4818
2233,4761
2640,4646
2620,4567
2795,4519
2287,4502
2107,4461
2478,4346
2747,4298
2765,4274
2154,4220
2101,4182
2148,4174
2228,4132
2480,4130
2260,4124
2745,4118
2282,4070
2541,4057
2264,4032
2093,3974
2325,3940
2281,3930
2315,3880
2330,3871
2323,3859
2539,3781
2066,3758
2529,3683
2227,3608
2263,3604
2224,3603
2147,3571
2530,3549
2321,3518
2536,3502
2486,3494
2026,3432
2106,3424
2580,3412
2046,3379
2322,3314
2262,3296
2759,3281
2527,3186
2770,3185
2753,3173
2065,3162
2112,3144
2176,3139
2156,3125
2210,3112
2100,3111
2318,3071
2256,3045
2171,3018
2528,2994
2077,2939
2030,2935
2213,2926
2500,2915
2850,2899
2103,2888
2284,2869
2095,2867
2137,2832
2097,2802
2096,2778
2200,2765
2076,2757
2168,2747
2763,2724
2289,2699
2291,2697
2035,2692
2615,2689
2074,2669
2031,2657
2440,2633
2221,2574
2550,2526
2036,2493
2905,2475
2446,2451
2680,2437
2161,2426
2190,2407
2760,2395
2710,2386
2333,2377
2223,2376
2533,2373
2537,2364
2749,2357
2360,2352
2068,2340
2582,2335
2217,2313
2571,2294
2566,2276
2041,2264
2196,2260
2075,2258
2111,2246
2160,2236
2110,2233
2226,2227
2219,2215
2350,2187
2758,2183
2216,2172
2518,2171
2317,2124
2456,2119
2166,2111
2086,2095
2380,2093
2641,2085
2443,2070
2090,2038
2575,2027
2207,2012
2047,2002
2546,2000
2319,1994
2452,1985
2870,1971
2761,1957
2034,1947
2073,1944
2089,1939
2526,1938
2040,1935
2000,1934
2120,1931
2300,1927
2125,1924
2069,1895
2577,1892
2794,1892
2594,1891
2464,1883
2060,1881
2087,1876
2463,1875
2484,1873
2117,1867
2158,1865
2790,1864
2165,1851
2211,1849
2316,1846
2487,1836
2105,1835
2305,1829
2021,1824
2335,1814
2768,1808
2164,1798
2485,1782
2092,1776
2085,1771
2565,1770
2113,1766
2010,1741
2477,1734
2023,1734
2429,1725
2617,1715
2027,1689
2122,1677
2720,1674
2011,1672
2212,1665
2705,1659
2118,1648
2913,1647
2519,1647
2390,1638
2470,1631
2517,1628
2114,1626
2304,1615
2029,1612
2121,1606
2627,1581
2777,1577
2151,1570
2871,1556
2880,1554
2067,1545
2447,1539
2220,1539
2199,1513
2400,1512
2102,1511
2611,1504
2557,1501
2225,1500
2445,1488
2206,1480
2535,1478
2070,1476
2337,1472
2448,1468
2481,1445
2508,1438
2126,1437
2162,1431
2548,1423
2515,1412
2754,1409
2906,1404
2146,1387
2652,1386
2576,1377
2159,1364
2299,1362
2063,1354
2590,1348
2024,1341
2104,1335
2071,1333
2646,1326
2265,1316
2173,1315
2441,1308
2295,1303
2326,1298
2198,1288
2144,1284
2483,1283
2039,1282
2431,1272
2642,1270
2774,1261
2630,1255
2204,1252
2082,1239
2135,1235
2062,1232
2142,1230
2179,1229
2525,1217
2752,1214
2602,1209
2083,1202
2619,1189
2084,1175
2303,1170
2902,1163
2558,1146
2094,1142
2119,1131
2327,1129
2157,1126
2022,1121
2904,1115
2267,1108
2298,1095
2079,1079
2502,1072
2454,1070
2820,1067
2138,1062
2205,1057
2621,1056
2019,1050
2081,1049
2258,1045
